date,city,team1,team2,toss,decision,venue,result,winner,mom,match_no
2010-03-22,Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Brabourne Stadium,1.0,Mumbai Indians,SR Tendulkar,132.0
2010-03-23,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,RV Uthappa,133.0
2010-03-24,Chandigarh,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",1.0,Rajasthan Royals,AC Voges,134.0
2010-03-25,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Brabourne Stadium,1.0,Mumbai Indians,SR Tendulkar,135.0
2010-03-25,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1.0,Delhi Daredevils,KM Jadhav,136.0
2010-03-26,Ahmedabad,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Sardar Patel Stadium, Motera",1.0,Rajasthan Royals,YK Pathan,137.0
2010-03-27,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Punjab Cricket Association Stadium, Mohali",1.0,Kolkata Knight Riders,MK Tiwary,138.0
2010-03-28,Ahmedabad,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,"Sardar Patel Stadium, Motera",1.0,Rajasthan Royals,NV Ojha,139.0
2010-03-28,Mumbai,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Dr DY Patil Sports Academy,1.0,Mumbai Indians,Harbhajan Singh,140.0
2010-03-29,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla,1.0,Delhi Daredevils,DA Warner,141.0
2010-03-30,Mumbai,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Brabourne Stadium,1.0,Mumbai Indians,SL Malinga,142.0
